amount,description
5000,カフェでコーヒー数十杯、コンビニでお菓子や軽食
10000,映画鑑賞5～10回、書籍や雑誌まとめ買い
15000,家庭用ゲームソフト、外食ランチ10回程度
20000,家電小物（ヘアドライヤー、炊飯器小型）、レストランディナー2～3回
25000,スマホアクセサリー一式、ブランド文房具セット
30000,外食ディナー5～6回、日帰り温泉旅行
35000,高級腕時計（エントリーモデル）、電動自転車
40000,家電（電子レンジ、掃除機）、温泉宿1泊
45000,ミニプロジェクター、スマート家電セット
50000,高級レストラン食事＋宿泊、趣味の用品まとめ買い
55000,ブランドバッグ（小型）や靴
60000,タブレット端末（低～中価格帯）
65000,旅行1泊2日国内（交通費込み）
70000,高級家電（ロボット掃除機）
75000,ブランド財布、アクセサリー
80000,家族でレジャー旅行1日分
85000,ゲーミング機器（PC周辺機器）
90000,高級腕時計（中価格帯）
95000,国内小型旅行2泊3日
100000,スマートフォン最新モデル
150000,高級自転車、スポーツ用品一式
200000,バイク（小型スクーター）
300000,高性能ノートPC、カメラ一式
500000,中型バイク、海外旅行1週間
1000000,高級車の頭金（ベンツ等）
